booking_id,passenger_id,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,name,age,gender,nationality,email,country_id
160537,374573,4,Offline,Round-trip,26,7,06:01,2023-07-31,New York - London,CDG,Yes,Yes,Yes,10.830650388398377,0,Sarah Gillespie,76,Female,Mali,acastro@example.net,10
617294,116049,1,Online,Round-trip,38,8,06:07,2023-07-22,Tokyo - Sydney,JFK,Yes,Yes,Yes,2.3458642361789828,0,Robin Kaufman,20,Male,Montenegro,emilypatterson@example.org,10
796480,691751,5,Offline,Round-trip,12,1,11:42,2023-06-26,Paris - Rome,CDG,No,Yes,No,9.760452707164298,0,Daniel Smith,60,Male,Nepal,fullerteresa@example.net,6
894614,412458,1,Offline,Round-trip,34,5,23:23,2023-07-08,Tokyo - Sydney,NRT,Yes,No,Yes,3.3610135506917693,1,Robert Taylor,23,Male,South Africa,sanchezlucas@example.org,9
904594,501359,1,Online,Round-trip,24,1,03:44,2023-07-10,Tokyo - Sydney,JFK,No,Yes,No,9.621360158499177,1,Amanda Hayes,26,Male,Eritrea,csanchez@example.com,5
293946,224022,1,Offline,One-way,49,10,20:55,2023-06-17,Paris - Rome,JFK,No,Yes,No,2.3724601384154402,1,Raymond Edwards,75,Male,Somalia,rita76@example.com,6
410129,221847,3,Online,Round-trip,30,9,12:53,2023-07-03,New York - London,JFK,Yes,No,No,4.476584594895735,0,Timothy Matthews,68,Female,Antarctica (the territory South of 60 deg S),craigcarter@example.com,7
872710,733439,5,Online,Round-trip,47,4,11:33,2023-07-22,New York - London,NRT,No,No,No,9.124467991381577,1,Terrance Hughes,35,Female,Guinea,khantroy@example.net,3
602533,890874,3,Offline,Round-trip,31,1,15:11,2023-07-31,Paris - Rome,CDG,No,No,No,8.541243421143822,0,Christopher Gross DVM,39,Male,Colombia,kristenneal@example.net,5
646421,702683,1,Online,One-way,52,2,02:12,2023-06-20,New York - London,NRT,No,No,Yes,6.6787611338583535,1,Denise Potter,80,Female,Holy See (Vatican City State),smithchristopher@example.net,3
641643,529799,4,Online,Round-trip,14,3,04:58,2023-07-11,Paris - Rome,JFK,No,No,No,5.0894796120734815,0,Reginald Torres,52,Male,Sri Lanka,christine44@example.com,6
272996,125786,4,Online,Round-trip,20,7,07:47,2023-07-19,Paris - Rome,NRT,No,No,Yes,8.639060714542953,0,Anna Bradford,21,Male,Albania,devin61@example.net,4
543126,488710,4,Online,Round-trip,21,8,03:44,2023-06-24,Tokyo - Sydney,NRT,No,Yes,Yes,8.659368067782381,1,Jennifer Ward,43,Female,Ghana,robertlewis@example.org,9
729124,617952,5,Online,One-way,40,6,22:29,2023-08-08,Tokyo - Sydney,CDG,Yes,No,Yes,2.9800539612244896,0,Christopher Meyer,78,Male,Belarus,jill75@example.net,4
288783,929500,5,Online,One-way,44,9,14:31,2023-06-19,New York - London,NRT,No,Yes,No,6.581171373455815,1,Tiffany Cruz,45,Female,Ethiopia,rebecca11@example.com,6
673626,424572,5,Offline,Round-trip,16,3,07:01,2023-06-22,Paris - Rome,JFK,No,No,No,1.0561123799897256,0,Mary White,80,Male,Barbados,scottmartin@example.com,4
232592,659755,1,Online,Round-trip,30,3,00:09,2023-07-17,Tokyo - Sydney,CDG,No,No,Yes,11.30240460356951,1,Jason King,23,Female,Slovakia (Slovak Republic),martinnicholas@example.com,10
476015,964679,2,Online,One-way,21,9,17:34,2023-07-26,New York - London,NRT,Yes,No,Yes,3.452672104439297,1,Kelly Reyes,47,Female,Northern Mariana Islands,brendaweber@example.org,7
528412,139809,5,Offline,Round-trip,11,6,20:11,2023-07-31,Tokyo - Sydney,CDG,Yes,No,No,9.489099565855042,1,Dawn Lyons,78,Female,Guinea-Bissau,xrobinson@example.net,7
522929,700120,2,Online,One-way,18,1,16:08,2023-08-05,Paris - Rome,NRT,Yes,No,No,1.2592210865217597,0,Lisa Reese,33,Female,Ethiopia,johnwright@example.com,7
235439,764985,1,Online,One-way,13,7,06:40,2023-08-03,Paris - Rome,JFK,Yes,Yes,No,9.47037374228184,0,Michael Pacheco,73,Male,Albania,angela19@example.org,6
519095,598920,3,Online,One-way,17,2,23:12,2023-07-20,New York - London,JFK,No,No,Yes,3.5742328320138324,1,Christian Scott,32,Male,Christmas Island,arodriguez@example.org,1
97958,546245,1,Offline,Round-trip,57,6,10:22,2023-06-26,New York - London,JFK,No,Yes,No,6.579631755212166,0,John Morris,69,Female,Rwanda,chad92@example.org,7
298164,155029,2,Online,One-way,20,4,03:43,2023-07-13,New York - London,JFK,No,No,Yes,1.402973273912012,0,Mr. Joseph Smith,61,Male,Fiji,george90@example.net,7
285636,204712,1,Online,Round-trip,56,6,06:26,2023-08-06,Tokyo - Sydney,JFK,No,Yes,Yes,3.508377279549897,0,Melissa Scott,31,Female,Bahrain,baileyhoward@example.org,5
491607,391509,3,Offline,Round-trip,17,7,21:46,2023-07-05,Tokyo - Sydney,CDG,No,Yes,No,3.6339653480548306,1,Mary Willis,80,Male,Mozambique,jeffgarcia@example.com,9
698911,211707,1,Online,Round-trip,32,9,02:56,2023-07-11,Paris - Rome,CDG,No,No,Yes,2.576770693518103,1,Patrick Reed,23,Male,Saint Kitts and Nevis,heather52@example.com,6
986200,424157,2,Offline,One-way,41,7,18:20,2023-06-25,Paris - Rome,JFK,No,No,No,10.381485617251888,1,Jessica Warren,39,Male,Suriname,wmcgee@example.net,5
660145,942629,5,Offline,Round-trip,20,10,15:54,2023-07-26,Tokyo - Sydney,JFK,Yes,No,No,1.9694930890769424,0,Anthony Cox,23,Female,Angola,ashleydalton@example.com,8
585232,499768,1,Offline,One-way,12,5,23:41,2023-07-28,New York - London,NRT,Yes,Yes,Yes,1.4409547933526858,1,Judy Davis,66,Female,Bangladesh,meyerandrew@example.org,8
497710,801029,1,Online,Round-trip,44,4,17:19,2023-07-14,Tokyo - Sydney,JFK,No,No,No,10.18713974202164,0,Matthew Stewart,70,Male,Denmark,anthony33@example.com,9
674148,164408,4,Online,One-way,19,1,03:40,2023-07-17,Tokyo - Sydney,JFK,No,Yes,Yes,6.455271173327806,0,Raymond Johnson,21,Male,Bulgaria,larryatkins@example.net,6
524053,739663,4,Offline,One-way,18,2,13:11,2023-06-25,Paris - Rome,CDG,No,Yes,No,9.582432622593075,1,Jeremy Brooks,21,Female,Liberia,lsmith@example.net,10
386564,698212,4,Offline,One-way,5,3,15:53,2023-07-30,New York - London,JFK,Yes,Yes,Yes,2.643992073935276,0,Chad Yoder,38,Female,Australia,maurice35@example.net,5
279106,200232,2,Online,Round-trip,27,4,18:22,2023-07-15,Paris - Rome,NRT,No,No,Yes,5.587464290621278,0,Antonio Mccormick,40,Female,Jordan,daniel69@example.net,5
104447,674545,2,Offline,One-way,15,1,17:19,2023-06-24,Paris - Rome,CDG,No,Yes,No,4.662037173695648,1,Billy Morrow,44,Male,Israel,yolanda58@example.net,9
689256,95356,3,Offline,One-way,48,5,22:20,2023-07-23,New York - London,JFK,Yes,Yes,Yes,8.454949674313088,1,Monica Freeman,29,Male,Mozambique,john15@example.com,3
252380,603481,1,Online,Round-trip,30,1,05:43,2023-08-08,New York - London,JFK,No,No,Yes,2.12367959236413,0,Jennifer Jackson,66,Male,Somalia,pageheather@example.org,2
987079,927038,2,Offline,Round-trip,40,1,03:04,2023-06-27,Paris - Rome,JFK,Yes,Yes,Yes,4.084354968969043,1,Jose Stanley,44,Male,Northern Mariana Islands,kramerrebekah@example.org,7
486046,26431,1,Online,Round-trip,51,2,09:25,2023-07-15,Paris - Rome,NRT,Yes,Yes,No,1.3039250700383582,1,Christine Kennedy,44,Male,Niue,hunterethan@example.net,7
768177,307248,5,Offline,Round-trip,18,7,15:00,2023-07-21,Tokyo - Sydney,CDG,No,Yes,No,1.0885922371853187,0,Christopher Walker,23,Female,French Guiana,owensalexis@example.net,10
476203,685825,3,Offline,One-way,29,3,06:23,2023-08-05,Paris - Rome,NRT,Yes,No,No,2.846789318741315,1,Robert Richards,65,Male,United Arab Emirates,veronicabrady@example.org,3
942492,407921,3,Offline,One-way,38,1,17:26,2023-06-25,Tokyo - Sydney,CDG,No,No,Yes,9.780288186995003,1,Michael Gonzalez,62,Male,Tajikistan,wwilson@example.net,3
722846,976907,2,Offline,One-way,29,6,16:01,2023-08-04,New York - London,NRT,Yes,No,Yes,2.63507369895209,0,Kim Tran,77,Male,Gambia,griffithandrew@example.org,10
544870,611357,2,Offline,One-way,31,10,03:34,2023-08-07,Paris - Rome,JFK,No,No,Yes,1.9367091087812152,1,Nathaniel Coleman,39,Male,Saint Pierre and Miquelon,yhopkins@example.net,1
760138,518872,5,Online,Round-trip,14,3,13:49,2023-07-30,New York - London,JFK,No,No,No,5.651027919803982,1,Regina Skinner,23,Female,Turks and Caicos Islands,kerry92@example.com,1
803273,494396,3,Online,One-way,47,8,01:50,2023-07-07,New York - London,NRT,No,No,No,4.9483345717989735,0,Sharon Howe,79,Male,Russian Federation,christine91@example.net,2
292959,704362,1,Online,One-way,33,10,23:25,2023-07-05,New York - London,CDG,Yes,Yes,No,7.048638617601244,1,Katherine Lucero,35,Male,Portugal,ihooper@example.com,8
755886,869391,2,Online,Round-trip,57,6,04:08,2023-06-14,Tokyo - Sydney,NRT,No,No,No,1.8362150343051282,1,Trevor Boyd,33,Female,El Salvador,smithadam@example.net,2
853550,686070,5,Offline,One-way,41,1,08:12,2023-07-07,Tokyo - Sydney,CDG,Yes,Yes,Yes,1.0380308482630571,0,Michael Adams,43,Male,Andorra,amandatravis@example.net,1
140151,914274,2,Offline,Round-trip,28,5,01:10,2023-07-14,Paris - Rome,NRT,Yes,No,Yes,11.243977667447206,0,Michelle Diaz,69,Female,Dominica,glennwhite@example.net,7
477263,297546,2,Offline,Round-trip,53,1,20:33,2023-07-05,New York - London,NRT,No,No,No,4.53763664973424,1,Sean Evans,39,Male,Bahamas,joannatucker@example.net,9
909731,619766,3,Offline,One-way,28,9,09:24,2023-06-24,Tokyo - Sydney,CDG,No,No,No,5.350780127480477,0,Andrea Reyes,54,Female,Puerto Rico,stuartsharon@example.net,6
827530,986205,4,Offline,One-way,42,8,07:37,2023-06-11,New York - London,CDG,No,No,Yes,3.2648345133326115,0,Cassandra Camacho,56,Female,British Indian Ocean Territory (Chagos Archipelago),hollandtracy@example.org,1
877552,158516,1,Offline,One-way,47,6,22:07,2023-06-25,Paris - Rome,JFK,Yes,No,Yes,1.2320988594730928,0,Dennis Terrell,33,Female,Iceland,rrios@example.com,8
935453,170839,1,Offline,One-way,53,8,20:05,2023-07-17,Paris - Rome,NRT,Yes,No,No,6.751574754612189,1,Samantha Jones,22,Male,Mayotte,christophermeyer@example.org,7
91784,679357,5,Offline,One-way,43,10,06:29,2023-06-23,Paris - Rome,NRT,No,No,Yes,9.349997262449163,1,Courtney Johnson,29,Female,Faroe Islands,brent18@example.org,5
10718,182181,5,Offline,One-way,46,7,17:45,2023-08-05,New York - London,CDG,No,No,No,4.655800585000111,1,Ryan Guerrero,29,Female,Taiwan,madisonmoore@example.org,7
716264,346265,4,Online,One-way,35,7,13:57,2023-06-30,Tokyo - Sydney,JFK,Yes,No,No,8.237474496049906,0,Veronica Johnson,34,Male,Mayotte,martinjulie@example.com,10
801858,658958,3,Offline,Round-trip,6,10,23:44,2023-07-18,New York - London,NRT,No,Yes,Yes,7.214718795170689,1,Joseph Lopez,65,Male,Panama,nathan49@example.com,4
16027,603573,4,Online,One-way,56,1,19:17,2023-07-25,New York - London,NRT,No,Yes,No,2.2511916296342993,0,Jason Francis,35,Female,Norway,rosalesjoseph@example.net,4
90374,735535,2,Offline,Round-trip,38,9,20:41,2023-07-13,Paris - Rome,CDG,No,Yes,No,11.93426255491102,1,Elizabeth Ponce,51,Female,Saint Pierre and Miquelon,jonathan61@example.net,10
331216,981914,1,Offline,Round-trip,21,3,20:00,2023-06-18,Tokyo - Sydney,JFK,No,Yes,No,5.950790137183088,0,Tiffany Dyer,33,Female,Micronesia,lhickman@example.org,6
904706,601071,1,Offline,One-way,60,3,14:37,2023-06-13,Paris - Rome,JFK,No,Yes,No,2.982474023737617,1,Breanna Rodriguez,33,Male,Martinique,heather29@example.org,4
183563,451243,1,Offline,One-way,8,1,15:17,2023-08-08,Paris - Rome,CDG,No,Yes,No,11.78596842369014,1,Briana Solomon,36,Female,Liberia,thomastheresa@example.org,7
965523,205840,2,Offline,Round-trip,22,5,05:36,2023-06-25,New York - London,JFK,No,Yes,Yes,7.890106949369807,1,Tiffany Nelson,37,Male,Brunei Darussalam,williamrobinson@example.net,9
853305,755850,2,Online,One-way,31,4,03:15,2023-07-11,Paris - Rome,JFK,Yes,No,Yes,11.98209729242521,1,Mr. Sean Lynch,20,Female,Heard Island and McDonald Islands,kcunningham@example.net,3
163728,692209,1,Offline,Round-trip,46,4,03:22,2023-06-15,New York - London,CDG,No,Yes,No,2.1832851295919316,0,Kimberly Davis,33,Female,Oman,jorgeosborne@example.net,8
705183,575137,1,Online,One-way,6,1,11:30,2023-07-11,Tokyo - Sydney,JFK,Yes,Yes,Yes,7.792309167536895,1,Daniel Davis,41,Male,Uruguay,kelligould@example.org,3
174433,644943,3,Offline,One-way,2,3,13:11,2023-07-13,Tokyo - Sydney,JFK,No,No,No,7.032991430429054,0,Curtis Johnson,34,Male,Togo,lisa05@example.org,6
174169,519464,1,Offline,Round-trip,55,9,02:27,2023-06-25,New York - London,JFK,Yes,No,Yes,3.6245460618110976,0,Daniel Lee,27,Male,Estonia,tdavis@example.org,4
168645,282375,3,Online,Round-trip,41,10,03:34,2023-06-19,New York - London,CDG,No,No,No,6.738703590212464,0,Michael Garcia,29,Male,Maldives,jessica04@example.com,6
892253,987702,3,Offline,One-way,57,10,23:47,2023-06-14,Tokyo - Sydney,JFK,Yes,No,Yes,4.758195478200116,1,Jacqueline Harris,38,Male,Ethiopia,halvarado@example.org,3
964495,97606,2,Online,Round-trip,5,2,20:46,2023-07-31,Paris - Rome,NRT,Yes,No,No,11.035634774885459,1,Luke Sims,56,Male,Nicaragua,robert09@example.org,5
948908,321162,2,Online,One-way,3,6,11:55,2023-06-30,Paris - Rome,CDG,Yes,Yes,No,10.396071673177284,1,Denise Robinson,53,Male,Congo,richardjackson@example.net,10
227122,897575,1,Online,Round-trip,20,4,01:14,2023-07-29,New York - London,CDG,No,No,No,3.4731534930740655,1,Micheal Murphy,64,Female,Luxembourg,acox@example.net,6
950591,3684,5,Online,Round-trip,4,2,13:30,2023-07-29,Paris - Rome,CDG,Yes,No,Yes,5.067859116852572,0,Alexander Odonnell,65,Female,Antarctica (the territory South of 60 deg S),caldwellrobert@example.org,4
348142,239578,2,Offline,Round-trip,17,8,11:45,2023-06-29,Paris - Rome,NRT,Yes,No,No,4.2059193472072085,1,Patrick Haynes,57,Male,Mauritania,hsanchez@example.org,7
285197,961995,5,Offline,Round-trip,32,2,13:21,2023-07-19,Paris - Rome,CDG,No,Yes,Yes,9.18099149111248,0,Luis Russell,80,Male,Guam,robert65@example.org,10
941508,142705,5,Offline,One-way,39,1,00:53,2023-07-18,Tokyo - Sydney,NRT,Yes,Yes,Yes,5.004694611922331,0,Linda Griffin,45,Male,Ireland,michaelwerner@example.com,10
765362,84257,5,Offline,One-way,41,10,10:36,2023-07-23,Tokyo - Sydney,JFK,No,No,Yes,10.62652993417644,1,Lisa Hanson,62,Male,Faroe Islands,christopher68@example.net,1
155780,533777,3,Online,Round-trip,44,2,22:37,2023-06-23,New York - London,CDG,No,Yes,No,4.981178327959885,1,David Moore,37,Male,Senegal,ngill@example.org,6
309396,58216,3,Offline,One-way,4,3,22:53,2023-06-21,Paris - Rome,CDG,Yes,Yes,Yes,8.462230171487715,1,William Brennan,62,Male,Falkland Islands (Malvinas),peter40@example.org,9
303770,112364,3,Online,One-way,42,5,22:00,2023-07-28,New York - London,JFK,No,No,Yes,10.268369574848084,1,Calvin Meyer,60,Male,Andorra,davidsmith@example.com,9
763086,76913,4,Offline,One-way,47,9,04:06,2023-07-27,Tokyo - Sydney,NRT,No,No,No,11.211012683366338,0,Shaun Martin,80,Female,Bolivia,peter65@example.net,2
442418,85425,5,Offline,Round-trip,28,5,22:53,2023-08-05,Tokyo - Sydney,CDG,No,Yes,No,3.1892308728087255,1,Ashley Thomas,47,Male,Equatorial Guinea,luiswilliams@example.net,7
743680,479823,5,Online,One-way,56,5,03:11,2023-07-14,Tokyo - Sydney,CDG,No,Yes,Yes,6.43893861282013,1,Charles Joyce,64,Male,Jersey,wrightthomas@example.net,1
723239,570641,3,Online,One-way,16,6,03:32,2023-07-08,Paris - Rome,NRT,Yes,No,Yes,8.857870896744647,0,David Davis,71,Female,Guadeloupe,michaeljohnson@example.com,2
865531,713179,1,Online,One-way,30,6,01:28,2023-06-11,Paris - Rome,CDG,Yes,No,No,1.2749290546155334,1,Melanie Jones,51,Male,Sao Tome and Principe,danielweaver@example.org,8
110892,951437,5,Offline,One-way,41,1,14:03,2023-08-09,New York - London,CDG,Yes,No,Yes,2.3779450061724328,1,Philip Smith,38,Female,Jordan,ncortez@example.com,3
264758,962588,5,Offline,One-way,24,2,16:51,2023-07-03,Tokyo - Sydney,NRT,No,Yes,No,4.011366945774603,1,David Willis,28,Female,Nepal,martinezjeremiah@example.org,3
268578,725634,3,Online,One-way,50,10,18:10,2023-07-13,New York - London,CDG,Yes,No,Yes,6.243781517197695,1,Dr. Christopher Bell,33,Female,Singapore,blakesanchez@example.com,3
257022,493881,2,Online,Round-trip,26,5,21:43,2023-08-03,Tokyo - Sydney,NRT,No,No,Yes,10.621123643635407,1,Paul Hodge,60,Female,Andorra,ecarpenter@example.com,9
459326,816664,2,Offline,Round-trip,43,6,19:34,2023-07-16,Tokyo - Sydney,JFK,No,No,Yes,2.0387237268372487,0,John Hernandez,44,Female,Guyana,reynoldsbrianna@example.org,8
872848,335251,3,Online,One-way,40,7,13:16,2023-06-12,New York - London,CDG,Yes,Yes,Yes,7.406675397318843,0,Alyssa King,69,Male,Austria,troy70@example.net,6
430206,438890,2,Offline,Round-trip,10,5,15:17,2023-06-11,Tokyo - Sydney,NRT,No,No,No,6.766883621285966,0,Tina Stone,34,Female,Palestinian Territory,patricialowe@example.net,3
197536,893645,3,Offline,Round-trip,22,1,09:28,2023-07-05,New York - London,NRT,Yes,Yes,Yes,1.435729678531278,0,Patricia Escobar,38,Female,Wallis and Futuna,tgray@example.com,4
849338,549564,3,Online,Round-trip,16,5,07:50,2023-06-24,New York - London,NRT,No,Yes,Yes,8.696683359231201,0,Thomas Smith,64,Male,Sri Lanka,williamskevin@example.net,9
268258,282704,5,Online,Round-trip,9,10,13:38,2023-06-24,Tokyo - Sydney,NRT,No,Yes,No,10.949355134447396,1,Edwin Nelson,64,Male,Macao,castrowilliam@example.org,4
268528,74261,2,Online,One-way,28,1,07:07,2023-07-08,Paris - Rome,NRT,No,No,Yes,1.0821472413521618,0,Theresa Zimmerman,72,Female,Bolivia,jhughes@example.org,1
760783,720511,1,Online,One-way,39,3,17:13,2023-07-03,New York - London,JFK,Yes,No,No,9.960677652138909,0,Mary Hall,41,Male,Malaysia,harmoncody@example.net,9
444270,216786,4,Online,Round-trip,37,2,07:41,2023-07-08,New York - London,CDG,No,Yes,Yes,10.209096020621518,1,Julie Lawrence,80,Male,Brunei Darussalam,whunter@example.com,9
207205,15356,4,Online,Round-trip,49,10,10:58,2023-08-01,Tokyo - Sydney,NRT,Yes,No,Yes,2.008381366428403,1,Ashley Perkins,73,Female,Saint Lucia,teresa77@example.net,9
615922,941445,5,Online,One-way,20,5,21:44,2023-07-02,Tokyo - Sydney,CDG,No,No,No,8.048513779818569,0,Jared Johnson,31,Female,Christmas Island,ricesherri@example.org,8
152699,513329,2,Online,Round-trip,21,6,17:26,2023-07-02,Paris - Rome,JFK,Yes,No,Yes,8.906351049725561,1,Kayla Watts,69,Female,Libyan Arab Jamahiriya,thomasrobinson@example.net,8
820696,857233,2,Online,Round-trip,51,5,13:52,2023-07-30,Tokyo - Sydney,JFK,Yes,Yes,Yes,4.71609703300738,1,Lisa Richmond,45,Female,Guatemala,colleencrawford@example.org,1
734354,691041,2,Offline,One-way,10,7,09:07,2023-07-24,Paris - Rome,NRT,Yes,Yes,Yes,4.276508871188621,1,Jessica Torres,52,Female,Marshall Islands,claudiashields@example.net,8
561343,300977,4,Offline,Round-trip,28,1,08:06,2023-08-05,Tokyo - Sydney,JFK,Yes,No,Yes,3.6140184852455395,0,Jeffrey Clark,31,Male,Canada,danielsarah@example.com,6
334652,587581,4,Offline,Round-trip,33,7,18:58,2023-06-29,Tokyo - Sydney,CDG,No,Yes,No,9.639243396993622,1,Eugene Parker,33,Male,Chile,jacquelinelawrence@example.com,1
132290,198643,2,Offline,Round-trip,18,9,13:20,2023-07-07,Tokyo - Sydney,CDG,No,No,No,6.51638709903624,1,Steven Martinez,51,Female,Korea,john47@example.net,6
830976,752159,5,Online,One-way,13,1,09:30,2023-07-05,Paris - Rome,CDG,No,No,Yes,11.763056857971327,0,Dylan James,60,Female,Turks and Caicos Islands,clarkchristian@example.org,4
51088,357690,5,Online,Round-trip,8,9,12:20,2023-07-05,Paris - Rome,JFK,Yes,No,No,8.446940246563948,1,Traci Cox,31,Male,Malaysia,kerryfarmer@example.com,2
97071,22779,2,Online,Round-trip,37,6,08:52,2023-07-01,Paris - Rome,JFK,Yes,Yes,No,6.8734500415412905,1,Leah Morton,50,Female,Albania,brownmary@example.net,2
713596,654378,5,Offline,One-way,33,4,01:07,2023-07-08,Tokyo - Sydney,NRT,Yes,Yes,No,3.3034436536123177,0,James Carpenter,19,Male,Slovenia,jacksoncharles@example.org,6
738837,429458,4,Online,Round-trip,30,5,05:41,2023-07-04,New York - London,JFK,No,Yes,Yes,11.186055781065807,0,Monique Green,33,Female,Iran,scottgreen@example.net,1
120156,816563,1,Offline,Round-trip,23,9,17:03,2023-07-26,Tokyo - Sydney,NRT,No,No,No,11.879139561940821,1,Kristopher Kramer,67,Male,Jordan,ljohnson@example.org,8
276361,5555,4,Offline,Round-trip,20,1,01:35,2023-07-22,Tokyo - Sydney,NRT,Yes,No,Yes,11.411385739638563,1,Morgan Ware,20,Female,New Zealand,svaughan@example.org,10
637040,614953,1,Offline,Round-trip,59,9,14:13,2023-06-26,Paris - Rome,JFK,Yes,Yes,Yes,8.229575381901961,1,Cory Barber,77,Female,Luxembourg,jeffreyreynolds@example.org,8
104551,393523,4,Online,One-way,50,8,13:07,2023-07-02,Tokyo - Sydney,JFK,No,Yes,Yes,4.200898536406725,0,Stephen Yang,59,Male,South Africa,claudia02@example.org,10
